"ID";"P1";"P3";"P8";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P21";"P22";"P23";"P24";"P26";"P2";"P4";"P5";"P6";"P7";"P9";"P10";"P11";"P19";"P20"
114;As vezes;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;NS/NR;Dona de casa;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
115;Sim;Na família;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Sim;Sim;Importante;Muito importante;Muito importante;Sexual;Não;;;
116;As vezes;NS/NR;NS/NR;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Pouco Importante;Pouco importante;Sexual;Não;;;
117;Não;Na família;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Centro-Oeste;Não;Não;Muito importante;Pouco Importante;Indiferente;Psicológica;Sim;Moral;;
118;Não;Na família;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);NS/NR;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
119;Não;Na família;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;NS/NR;Sim;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
120;Não;Nas instituições públicas;No trabalho;Não;;;;;;;50 a 59 anos;Ensino fundamental;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Centro-Oeste;Sim;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
121;Não;Na Justiça;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
122;Não;NS/NR;NS/NR;Sim;Psicológica;4 vezes ou mais;até 19 anos;Marido;Procurou ajuda da família;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Sim;Importante;Muito importante;Muito importante;Física;Sim;Física;;
123;Não;No trabalho;Nas instituições públicas;Sim;Moral;4 vezes ou mais;20 a 29 anos;NS/NR;Procurou uma delegacia comum;Péssimo;60 anos ou mais;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para sua casa;
124;Não;NS/NR;Nas instituições públicas;Sim;Psicológica;2 vezes;até 19 anos;Amigo;NS/NR;;60 anos ou mais;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Centro-Oeste;Sim;Não;Muito importante;Importante;Importante;Física;Sim;Psicológica;;
125;Não;Na solicitação de serviços;Na Justiça;Não;;;;;;;16 a 19 anos;Ensino médio;NS/NR;Estudante;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
126;Não;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
127;Não;NS/NR;Na família;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Em parte;Importante;Muito importante;Muito importante;Física;Sim;Física;;
128;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Em parte;Importante;Importante;Importante;Física;Sim;Física;;
129;Não;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Importante;Muito importante;Muito importante;Física;Não;;;
130;Não;Na Justiça;Na família;Sim;Física;3 vezes;;Marido;Silenciou;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
131;Não;Na família;NS/NR;Não;;;;;;;40 a 49 anos;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
132;As vezes;Na Justiça;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;NS/NR;Sim;Física;;
133;Não;NS/NR;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Importante;Moral;Não;;;
134;Não;Na família;Na solicitação de serviços;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Marido;Procurou ajuda de amigos;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Moral;;
135;Não;Na Justiça;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);NS/NR;Centro-Oeste;Não;Não;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
136;As vezes;No trabalho;NS/NR;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;NS/NR;Sem importância;Pouco Importante;Pouco importante;Moral;Não;;;
137;Não;Nas instituições públicas;Na Justiça;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
138;Não;Na família;Na solicitação de serviços;Não;;;;;;;16 a 19 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Centro-Oeste;Não;Não;Muito importante;Muito importante;Importante;Sexual;Não;;;
139;Não;NS/NR;NS/NR;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Importante;Muito importante;NS/NR;Não;;;
140;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;NS/NR;Trabalha fora;Centro-Oeste;Não;Não;NS/NR;NS/NR;NS/NR;NS/NR;Não;;;
141;Não;NS/NR;NS/NR;Não;;;;;;;20 a 29 anos;Ensino fundamental;NS/NR;Dona de casa;Centro-Oeste;As vezes;Em parte;NS/NR;Muito importante;NS/NR;NS/NR;Não;;;
142;Não;Na solicitação de serviços;NS/NR;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;As vezes;Não;Importante;Muito importante;Muito importante;Moral;Sim;Física;;
143;As vezes;Na família;Na solicitação de serviços;Sim;Física;3 vezes;20 a 29 anos;Marido;Procurou uma delegacia comum;Regular;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para sua casa;
144;As vezes;NS/NR;No trabalho;Não;;;;;;;30 a 39 anos;Ensino superior;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Sim;Moral;;
145;Não;Na Justiça;Na família;Não;;;;;;;60 anos ou mais;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Sim;Não;Muito importante;Importante;Muito importante;Moral;Não;;;
146;Não;Na família;No trabalho;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Não;NS/NR;Importante;Muito importante;Psicológica;Não;;;
147;Não;Na família;Nas instituições públicas;Não;;;;;;;16 a 19 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sul;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
148;Não;Na família;Na solicitação de serviços;Não;;;;;;;16 a 19 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Sim;Moral;;
149;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Em parte;Importante;Muito importante;Muito importante;Sexual;Não;;;
150;Não;No trabalho;Na solicitação de serviços;Sim;Física;1 vez;até 19 anos;Enteado/outro familiar;Silenciou;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;As vezes;Não;Muito importante;Importante;Indiferente;Física;Sim;Física;;
151;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sul;As vezes;Sim;Muito importante;Muito importante;Importante;Moral;Não;;;
152;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Não;Muito importante;NS/NR;Muito importante;Sexual;Sim;Física;;
153;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Não;;;
154;Não;Na família;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Sim;Muito importante;Muito importante;Pouco importante;Sexual;Não;;;
155;Sim;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Em parte;Importante;Muito importante;Muito importante;Física;Sim;Moral;;
156;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
157;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
158;As vezes;Na família;No trabalho;Sim;Moral;4 vezes ou mais;até 19 anos;Namorado;Silenciou;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Em parte;Muito importante;Importante;Muito importante;Psicológica;Não;;;
159;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
160;As vezes;No trabalho;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Não;Sem importância;Sem importância;Pouco importante;Moral;Não;;;
161;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
162;Sim;No trabalho;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sul;As vezes;Não;Muito importante;Muito importante;Importante;Física;Sim;Física;;
163;Não;Na família;NS/NR;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
164;Não;NS/NR;Na família;Sim;Física;1 vez;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Péssimo;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Não;Muito importante;Pouco Importante;Sem Importância;Psicológica;Não;;Foi para casa de familiares;
165;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Em parte;Importante;Importante;Muito importante;Física;Não;;;
166;Não;Na família;No trabalho;Sim;Psicológica;2 vezes;até 19 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
167;Não;No trabalho;Na família;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Regular;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Psicológica;Foi para sua casa;
168;Não;NS/NR;Na família;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sul;Não;Em parte;Importante;Importante;Importante;Sexual;Não;;;
169;As vezes;No trabalho;Na Justiça;Sim;Física;4 vezes ou mais;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Bom;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Pouco importante;Sexual;Sim;Física;Foi para sua casa;
170;Não;No trabalho;Na família;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Namorado;Procurou ajuda de amigos;;40 a 49 anos;Pós-graduação;NS/NR;Trabalha fora;Sul;Não;Sim;Sem importância;Importante;Importante;Psicológica;Não;;;
171;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sul;Não;Não;Importante;Importante;Importante;Moral;Não;;;
172;Não;Na família;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
173;Sim;NS/NR;Nas instituições públicas;Sim;Psicológica;2 vezes;30 a 39 anos;NS/NR;NS/NR;;50 a 59 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
174;Não;Na família;No trabalho;Não;;;;;;;50 a 59 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
175;Não;NS/NR;Na família;Não;;;;;;;50 a 59 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sul;Não;Não;Sem importância;Indiferente;Importante;Moral;Sim;Física;;
176;As vezes;Nas instituições públicas;No trabalho;Não;;;;;;;60 anos ou mais;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sul;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
177;Não;Nas instituições públicas;Na família;Não;;;;;;;60 anos ou mais;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
178;Não;NS/NR;Na família;Não;;;;;;;60 anos ou mais;Ensino superior;NS/NR;NS/NR;Sul;Não;Não;Sem importância;Importante;Pouco importante;Moral;Não;;;
179;Não;Na família;Na Justiça;Não;;;;;;;60 anos ou mais;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sul;As vezes;Em parte;Indiferente;Importante;Pouco importante;Sexual;Não;;;
180;Não;Na família;Na solicitação de serviços;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Marido;Procurou ajuda da família;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Sim;Muito importante;Importante;Muito importante;Psicológica;Sim;Psicológica;;
181;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sul;Não;Em parte;Muito importante;Indiferente;Muito importante;NS/NR;Não;;;
182;As vezes;Na família;Na Justiça;Sim;NS/NR;4 vezes ou mais;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Bom;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sul;Não;Em parte;Muito importante;Muito importante;Muito importante;NS/NR;Sim;NS/NR;Foi para casa de familiares;
183;As vezes;Na Justiça;No trabalho;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sul;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
184;As vezes;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sul;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
185;Não;Na Justiça;NS/NR;Sim;Moral;3 vezes;20 a 29 anos;NS/NR;NS/NR;;50 a 59 anos;Ensino médio;NS/NR;Dona de casa;Sul;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Sim;Psicológica;;
186;Não;Na família;NS/NR;Não;;;;;;;60 anos ou mais;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sul;Não;Sim;Importante;Importante;Importante;Sexual;Não;;;
187;Não;No trabalho;Na família;Não;;;;;;;16 a 19 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;Não;Sim;Importante;Importante;Importante;Física;Não;;;
188;Não;Na família;No trabalho;Não;;;;;;;16 a 19 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Estudante;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
189;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;16 a 19 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Estudante;Nordeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
190;Sim;Na família;No trabalho;Não;;;;;;;16 a 19 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Estudante;Nordeste;Não;Não;Importante;Importante;Importante;Psicológica;Não;;;
191;Não;No trabalho;Na solicitação de serviços;Não;;;;;;;16 a 19 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Nordeste;Não;Em parte;Importante;Muito importante;Importante;Sexual;Sim;Física;;
192;As vezes;No trabalho;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Pós-graduação;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;Não;Sim;Muito importante;Muito importante;Importante;Física;Não;;;
193;As vezes;Na família;Nas instituições públicas;Sim;Psicológica;4 vezes ou mais;até 19 anos;Pai;Procurou ajuda da família;;20 a 29 anos;NS/NR;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Importante;Muito importante;Muito importante;Sexual;Sim;Física;;
194;As vezes;No trabalho;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
195;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;NS/NR;Estudante;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
