"ID";"P04";"P05";"P06";"P08";"P10";"P11";"P12";"P15";"P16";"P17";"P19";"P071";"P072";"P073";"P074";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P03";"P32";"P33";"P34";"P35";"P36";"P37";"P02";"P13";"P14",
54;Não;Na família;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Evangélica;Branca;Distrito Federal                                         ;Sim;Deve,
55;Às vezes;No trabalho;Continuou igual;Não denunciam;Não;Sim;Igual;Sim;-2;Não;Não;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Servidora Pública;Sem religião/crença;Branca;Distrito Federal                                         ;Sim;Deve,
56;Às vezes;No trabalho;Diminuiu;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Maranhão                                                ;Sim;Deve,
57;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);NS/NR;Amarela;Maranhão                                                ;Não;Deve,
58;Não;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Marido / companheiro;Não;;;Procurou ajuda da família;;;;20 a 29 anos;Terceira vez ou mais;Centro-Oeste;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Servidora Pública;Espírita;Branca;Mato Grosso do Sul                                       ;Não;Deve,
59;Não;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Servidora Pública;Espírita;Branca;Minas Gerais                                             ;Sim;Deve,
60;Não;No trabalho;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Evangélica;Parda;Minas Gerais                                             ;Sim;Deve,
61;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Minas Gerais                                             ;Não;Deve,
62;Às vezes;No trabalho;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Marido / companheiro;Sim;Não;;Denunciou em uma delegacia comum;;Péssimo;;20 a 29 anos;Segunda vez;Sudeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Servidora Pública;Evangélica;Amarela;Minas Gerais                                             ;Sim;Deve,
63;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;Central de Atendimento à Mulher (Ligue 180);Sim;Não;No;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Católica;Branca;Minas Gerais                                             ;Sim;Deve,
64;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;-2;Sim;Sim;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Pai;Não;;;Não fez nada;Medo de vingança do agressor;;;0 a 15 anos;Não procurei ajuda ;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Espírita;Branca;Minas Gerais                                             ;Sim;Deve,
65;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Espírita;Parda;Minas Gerais                                             ;Não;Deve,
66;Às vezes;Na família;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Servidora Pública;Católica;Branca;Pará                                                    ;Sim;Deve,
67;Não;No trabalho;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Não;-2;Não;Não;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;Paraíba                                                 ;Sim;Deve,
68;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Servidora Pública;Católica;Parda;Paraíba                                                 ;Não;Deve,
69;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Branca;Paraná                                                  ;Sim;Deve,
70;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;NS/NR;-2;Não;Não;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 50 a 59 anos;Ensino Superior;Sem renda;Desempregada;Evangélica;Amarela;Paraná                                                  ;Sim;Deve,
71;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Paraná                                                  ;Sim;Deve,
72;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Não;-2;Não;Não;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Católica;Branca;Pernambuco                                               ;Não;Não deve,
73;Não;Na sociedade;Aumentou;Na maioria das vezes;Não;Sim;Pior;Sim;Delegacia da Mulher;Não;Não;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Profissional Liberal (Autônoma);Católica;Parda;Pernambuco                                               ;Sim;Deve,
74;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Espírita;Branca;Pernambuco                                               ;Sim;Deve,
75;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Parda;Piauí                                                   ;Não;Deve,
76;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;Piauí                                                   ;Sim;Deve,
77;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;-2;Não;Não;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Católica;Preta;Rio de Janeiro                                           ;NS/NR;Deve,
78;Não;No trabalho;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;-2;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Sem renda;Dona de casa / Do lar;Espírita;Branca;Rio de Janeiro                                           ;Sim;Deve,
79;Sim;Na sociedade;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Parda;Rio de Janeiro                                           ;Sim;Deve,
80;Não;No trabalho;Continuou igual;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Procurou ajuda dos amigos;;;;20 a 29 anos;Primeira vez;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Evangélica;Branca;Rio de Janeiro                                           ;Não;Deve
81;Não;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;Yes;No;No;No;Yes;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Profissional Liberal (Autônoma);Outra;Branca;Rio de Janeiro                                           ;Sim;Deve,
82;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;NS/NR;Funcionária de empresa privada;Católica;Branca;Rio de Janeiro                                           ;Não;Deve,
83;Não;No trabalho;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Parda;Rio Grande do Sul                                        ;Sim;Deve,
84;Não;Na sociedade;Continuou igual;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Rio Grande do Sul                                        ;Sim;Deve,
85;Às vezes;Na família;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Não;Não;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 50 a 59 anos;Ensino Superior;NS/NR;Funcionária de empresa privada;Católica;Branca;Santa Catarina                                           ;Sim;Deve,
86;Às vezes;No trabalho;Aumentou;Não denunciam;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Branca;São Paulo                                               ;Sim;Deve,
87;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Pior;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Católica;Branca;São Paulo                                               ;Sim;Deve,
88;Às vezes;Na família;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
89;Às vezes;NS/NR;Continuou igual;Não denunciam;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Outra;Branca;São Paulo                                               ;Não;Deve,
90;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Evangélica;Branca;São Paulo                                               ;Não;Deve,
91;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Preta;São Paulo                                               ;NS/NR;Deve,
92;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Sem renda;Dona de casa / Do lar;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
93;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Espírita;Branca;São Paulo                                               ;Sim;Deve,
94;Não;Na família;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Marido / companheiro;Não;;;Não fez nada;Não existir punição;;;20 a 29 anos;Não procurei ajuda ;Sudeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Servidora Pública;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
95;Não;Na sociedade;Continuou igual;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;São Paulo                                               ;Não;Deve,
96;Sim;Na sociedade;Aumentou;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Sem renda;Servidora Pública;Católica;Parda;São Paulo                                               ;Não;NS/NR,
97;Sim;Na família;Aumentou;Não denunciam;Em parte;Sim;Melhor;Sim;-2;Sim;Sim;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;Marido / companheiro;Sim;Não;;Outra opção;;;;50 a 59 anos;Primeira vez;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Funcionária de empresa privada;Evangélica;Branca;São Paulo                                               ;Não;Deve,
98;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;São Paulo                                               ;Sim;Deve,
99;Não;No trabalho;Diminuiu;Não denunciam;Não;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Evangélica;Branca;São Paulo                                               ;Não;Deve,
100;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Branca;São Paulo                                               ;Sim;Deve,
101;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Marido / companheiro;Não;;;Denunciou em uma Delegacia da Mulher;;Regular;;40 a 49 anos;Terceira vez ou mais;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 10 S.M.;Aposentada / Pensionista;Católica;Branca;São Paulo                                               ;Não;Deve,
102;Às vezes;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Sem religião/crença;Branca;São Paulo                                               ;Sim;Deve,
103;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Família;Sim;Não;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Espírita;Branca;São Paulo                                               ;Sim;Deve,
104;Não;Na sociedade;Aumentou;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Espírita;Preta;São Paulo                                               ;Sim;Deve,
105;Não;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;São Paulo                                               ;Sim;Deve,
106;Não;Na família;Aumentou;Não denunciam;Não;Sim;Pior;Não;-2;Sim;Sim;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Marido / companheiro;Sim;Não;;Denunciou em uma delegacia comum;;Péssimo;;20 a 29 anos;Primeira vez;Sudeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Aposentada / Pensionista;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
