"ID";"P04";"P05";"P10";"P11";"P19";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P25";"P26";"P28";"P30";"P06";"P08";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P15";"P16";"P17";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P24";"P27";"P29";"P31";"P32";"P33";"Renda2";"P35";"P37";"P36";"P03";"P02";"P071";"P072";"P073";"P074";"P12";"P13";"P14";"P34"
56;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
57;Não;Na família;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Sim;;Outra opção <b>(Não ler)</b>;;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;;;Não procurou ajuda;60 ou mais;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
58;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
59;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Sim;Não;Sim;Não;Não;Não;;;;;50 a 59 anos;Ens. Médio;Mais de 2 a 5 S.M.;Servidora Pública;Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
60;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Entidades ou Associações de proteção à mulher (ONGs);Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Parda;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
61;Às vezes;No trabalho;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Denunciou em uma Delegacia da Mulher;Péssimo;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;3ª vez ou +;50 a 59 anos;Ens. Médio;Mais de 2 a 5 S.M.;Servidora Pública;Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
62;Não;No trabalho;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Denunciou em uma delegacia comum;Péssimo;;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;3ª vez ou +;30 a 39 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
63;Não;Na família;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Marido / companheiro;Sim;;Outra opção <b>(Não ler)</b>;;16 a 19 anos;Aumentou;Não denunciam;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;;;1ª vez;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Parda;Sem religião/crença;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
64;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Branca;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
65;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
66;Não;Na família;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Outra opção <b>(Não ler)</b>;;0 a 15 anos;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;2ª vez;20 a 29 anos;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Preta;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
67;Às vezes;Na família;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Sim;;Denunciou em uma delegacia comum;Bom;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;;;1ª vez;40 a 49 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Preta;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
68;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
69;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Preta;Católica;Nordeste;Bahia;Não;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
70;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Médio;Mais de 5 S.M.;Funcionária de empresa privada;Parda;Espírita;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 10 S.M.
71;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Parda;NS/NR ;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
72;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Preta;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
73;Às vezes;Na sociedade;Em parte;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Procurou ajuda da família;;30 a 39 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;NS/NR;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;1ª vez;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Não;Até 2 S.M.
74;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Amarela;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
75;Às vezes;No trabalho;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Denunciou em uma Delegacia da Mulher;Regular;;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;1ª vez;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
76;Não;Na sociedade;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Outra opção <b>(Não ler)</b>;;0 a 15 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;3ª vez ou +;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada / Pensionista;Parda;Outra;Nordeste;Bahia;Sim;Sim;Não;Não;Pior;Sim;Sim;Até 2 S.M.
77;Não;No trabalho;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Marido / companheiro;Não;;Procurou ajuda da família;;20 a 29 anos;Diminuiu;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;3ª vez ou +;30 a 39 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Indígena;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Não;Sim;Sem renda
78;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Entidades ou Associações de proteção à mulher (ONGs);Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;40 a 49 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Não;Sim;Mais de 2 a 5 S.M.
79;Sim;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Igreja;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
80;Às vezes;No trabalho;Em parte;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Marido / companheiro;Não;;Procurou ajuda dos amigos;;20 a 29 anos;Continua igual;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Não;Sim;Não;;;;3ª vez ou +;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Parda;Católica;Nordeste;Bahia;Sim;Sim;Não;Não;Melhor;Sim;Sim;Mais de 5 a 10 S.M.
81;Às vezes;Na sociedade;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Denunciou em uma delegacia comum;;20 a 29 anos;Aumentou;Não denunciam;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;3ª vez ou +;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Preta;Sem religião/crença;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
82;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Preta;Espírita;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
83;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Mais de 2 a 5 S.M.;Estudante;Preta;Outra;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
84;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Sem renda;Estudante;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Não;Sim;Sem renda
85;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Amigos;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;NS/NR;Dona de casa / Do lar;Branca;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Não;NS/NR
86;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Sem renda;Profissional Liberal (Autônoma);Preta;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Sem renda
87;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não;NS/NR;;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Sem renda;Estudante;Amarela;NS/NR ;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Não;Sem renda
88;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;NS/NR;Profissional Liberal (Autônoma);Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;NS/NR
89;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
90;Não;Na família;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Procurou a Igreja;;0 a 15 anos;Continua igual;Não denunciam;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;Não procurou ajuda;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
91;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Servidora Pública;Parda;Católica;Nordeste;Alagoas;Não;Não;Sim;Não;Igual;Não;Sim;Mais de 2 a 5 S.M.
92;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Evangélica;Nordeste;Alagoas;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
93;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Alagoas;Não;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
94;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;60 ou mais;Ens. Superior;Até 2 S.M.;Aposentada / Pensionista;Branca;Católica;Nordeste;Alagoas;Não;Sim;Não;Não;Igual;Sim;Sim;Até 2 S.M.
95;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Parda;Evangélica;Sudeste;Alagoas;Não;Sim;Não;Não;Igual;Sim;Sim;Sem renda
96;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Alagoas;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
97;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Alagoas;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
98;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Família;Não;;;;;;;;;;;;16 a 19 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Alagoas;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
99;Sim;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Parda;Católica;Nordeste;Alagoas;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
100;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Branca;Católica;Nordeste;Alagoas;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
101;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;;50 a 59 anos;Ens. Médio;Mais de 5 S.M.;Servidora Pública;Parda;Católica;Nordeste;Alagoas;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 5 a 10 S.M.
102;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Alagoas;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
103;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Católica;Nordeste;Alagoas;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
104;Às vezes;Na sociedade;Em parte;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Marido / companheiro;Sim;;Procurou ajuda da família;;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;;;2ª vez;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Nordeste;Alagoas;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
105;Às vezes;Na sociedade;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Irmão / cunhado;Sim;;Denunciou em uma delegacia comum;Ótimo;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;;;1ª vez;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Alagoas;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
106;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;NS/NR;Funcionária de empresa privada;Parda;Católica;Nordeste;Alagoas;Não;Não;Sim;Não;Melhor;Não;Sim;NS/NR
107;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Alagoas;Sim;Não;Não;Não;Melhor;Não;Não;Até 2 S.M.
108;Às vezes;Na sociedade;Em parte;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Pai;Não;;Denunciou em uma Delegacia da Mulher;Bom;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;1ª vez;16 a 19 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Parda;Católica;Nordeste;Alagoas;Sim;Não;Sim;Não;Melhor;Sim;Não;Até 2 S.M.
109;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada / Pensionista;Parda;Católica;Nordeste;Alagoas;Sim;Não;Não;Não;Pior;Sim;Sim;Até 2 S.M.
