"ID";"P01";"P02";"P03";"P04";"P07";"P08";"P12";"P13";"P15";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P27";"P061";"P062";"P063";"P064";"P065";"P066";"P111";"P112";"P113";"P114";"P141";"P142";"P143";"P144";"P145";"P146";"P171";"P172";"P173";"P174";"P175";"P176";"P1601";"P1602";"P1603";"P1604";"P1605";"P1606";"P1607";"P1608";"P1609";"P1610";"P261";"P262";"P263";"P264";"P265";"P266";"P267";"P268";"P28";"P29";"P30";"P31";"P32";"P33";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P051";"P052";"P053";"P054";"P055";"P056";"P057";"P058";"P10",,
57;Às vezes;Na sociedade;Continua igual;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;NS/NR;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
58;Não;No trabalho;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Empregada doméstica;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
59;Às vezes;Outros ambientes;Aumentou;Às vezes;Em parte;Não;Outras respostas;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Estudante;Evangélica;Região Nordeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não,
60;Às vezes;Na família;Continua igual;Não;Em parte;Sim;Outras respostas;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;50 a 59 anos;Ensino Superior;NS/NR;Aposentada;Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim,,
61;Às vezes;Na família;Aumentou;Não;Não;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;60 anos ou +;Pós-graduação;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Aposentada;Sem religião - Ateu;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
62;Sim;No trabalho;Continua igual;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;Yes;No;No;No;30 a 39 anos;Ensino Médio;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Sem religião - Ateu;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,
63;Às vezes;Outros ambientes;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;50 a 59 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Aposentada;Católica;Região Nordeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
64;Não;No trabalho;Aumentou;Não;Não;Sim;Família;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Estudante;Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
65;Às vezes;No trabalho;Diminuiu;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;Yes;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Espírita;Região Nordeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
66;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Servidora pública;Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;Não
67;Não;No trabalho;Aumentou;Não;Sim;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;50 a 59 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sul;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
68;Não;Na família;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;60 anos ou +;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;NS/NR
69;Às vezes;No trabalho;NS/NR;Sim;Sim;Sim;NS/NR;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;50 a 59 anos;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Católica;Região Sul;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim,
70;Às vezes;Na sociedade;Continua igual;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;30 a 39 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Servidora pública;Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
71;Às vezes;No trabalho;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Sim
72;Às vezes;No trabalho;Continua igual;Às vezes;Sim;Não;NS/NR;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;Ensino Médio;NS/NR;Outras opções;Católica;Região Sul;;;;;;;;;;No;No;No;Yes;No;No;No;No;Sim,,
73;Não;Na família;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;Yes;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Sim,
74;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;16 a 19 anos;Ensino Médio;NS/NR;Funcionária de empresa privada;Católica;Região Sul;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,,
75;Não;Na sociedade;Continua igual;Não;Em parte;Sim;Central de Atendimento à Mulher (número 180);Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;Yes;No;No;20 a 29 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sul;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
76;Às vezes;No trabalho;Diminuiu;Às vezes;Em parte;Não;Outras respostas;Não;Não;;;;;;;;;Sim;No;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Profissional liberal (Autônoma);Católica;Região Sul;;;;;;;;;;No;No;Yes;No;No;No;No;No;Não
77;Não;Outros ambientes;Continua igual;Não;Não;Sim;Polícia / Delegacia;Sim;Sim;Companheiro;Não;;;Outra opção;;;20 a 29 anos;Sim;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
78;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Denunciou em Delegacia da Mulher (Ir para P24);;Bom;16 a 19 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;50 a 59 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sul;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;Sim
79;Não;Outros ambientes;Aumentou;Às vezes;Não;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sul;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
80;Às vezes;No trabalho;Aumentou;Não;NS/NR;Não;Outras respostas;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Sul;;;;;;;;;;No;No;No;No;No;No;No;Yes;Sim,
81;Às vezes;Na família;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Desempregada;Espírita;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Não
82;Às vezes;No trabalho;Continua igual;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;Yes;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Estudante;Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
83;Às vezes;Na família;Continua igual;Não;Não;Não;Outras respostas;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Sul;;;;;;;;;;No;No;No;No;No;No;No;Yes;Não,
84;Não;Na sociedade;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Sem religião - Ateu;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;Sim
85;Às vezes;Outros ambientes;Aumentou;Não;Em parte;Não;Família;Sim;Não;;;;;;;;;Sim;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Católica;Região Sul;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
86;Às vezes;No trabalho;Continua igual;Não;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;Ensino Médio;NS/NR;Estudante;Evangélica;Região Sul;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;Não,,
87;Não;Na família;Diminuiu;Às vezes;Sim;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;60 anos ou +;Ensino Superior;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Aposentada;Católica;Região Sul;;;;;;;;;;No;No;No;Yes;No;No;No;No;NS/NR
88;Às vezes;Na família;Continua igual;Não;Em parte;Sim;NS/NR;Não;Sim;Marido;Sim;Não;;Não fez nada;Outra opção;;40 a 49 anos;Não;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
89;Às vezes;No trabalho;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Espírita;Região Sul;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
90;Sim;Na sociedade;Diminuiu;Às vezes;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
91;Não;No trabalho;Diminuiu;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;20 a 29 anos;Ensino Superior;NS/NR;Profissional liberal (Autônoma);Sem religião - Ateu;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Não,,
92;Não;Outros ambientes;Aumentou;Às vezes;Não;Não;Outras respostas;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Até a 4ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sul;;;;;;;;;;No;No;No;No;No;No;No;Yes;Sim
93;Às vezes;Na família;Diminuiu;Não;Em parte;Sim;Polícia / Delegacia;Sim;Sim;Pai;Não;;;Procurou ajuda da família;;;0 a 16 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;30 a 39 anos;Até a 4ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Sul;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
94;Às vezes;Na sociedade;Aumentou;Às vezes;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;Yes;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
95;Não;No trabalho;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Sim;Sim;Marido;Não;;;Denunciou em Delegacia da Mulher (Ir para P24);;Bom;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Funcionária de empresa privada;NS/NR;Região Sul;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,
96;Às vezes;Na família;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;No;Yes;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;NS/NR;Outras opções;Evangélica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;Não,,
97;Às vezes;Na sociedade;Diminuiu;Não;Em parte;Sim;Família;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Sul;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
98;Às vezes;No trabalho;Aumentou;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;NS/NR;Estudante;Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não,,
99;Às vezes;Na sociedade;Aumentou;Às vezes;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;16 a 19 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
100;Não;Na família;Continua igual;Não;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;30 a 39 anos;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Sul;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Sim
101;Não;Na família;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;Yes;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Católica;Região Sul;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
102;Às vezes;Outros ambientes;Aumentou;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sul;Yes;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Sim
103;Sim;Na família;Aumentou;Às vezes;Sim;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;60 anos ou +;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Aposentada;Católica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
104;Não;Na sociedade;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;50 a 59 anos;Até a 4ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Aposentada;Católica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
105;Não;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Não;Sim;Marido;Sim;Não;;Não fez nada;Outra opção;;40 a 49 anos;Sim;Yes;Yes;No;No;No;No;No;No;Yes;No;;;;;;;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Evangélica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Sim
106;Às vezes;No trabalho;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Servidora pública;Evangélica;Região Sul;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;Sim
107;Às vezes;Na família;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Sim;Filhos;Não;;;Denunciou em delegacia comum;;Regular;50 a 59 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;50 a 59 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Outras opções;Católica;Região Sul;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
108;Às vezes;No trabalho;Diminuiu;Às vezes;Sim;Sim;Delegacia da Mulher;Sim;Sim;Marido;Não;;;Denunciou em Delegacia da Mulher (Ir para P24);;Bom;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;40 a 49 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Outras religiões;Região Sul;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Não
109;Às vezes;Na família;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Aposentada;Católica;Região Sul;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
110;Às vezes;Na sociedade;Aumentou;Não;Em parte;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Outras opções;Católica;Região Sul;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não
111;Sim;NS/NR;Continua igual;Às vezes;Sim;Não;NS/NR;Não;Sim;NS/NR;Não;;;NS/NR;;;40 a 49 anos;Sim;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Sul;;;;;;;;;;No;No;No;No;No;No;Yes;No;NS/NR,
