"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
96;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;CE;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Sim     
97;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;CE;Sim;Denunciar                                                                 ;Sim;Sim     
98;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;CE;Sim;Outra opção                                                               ;Sim;Em parte
99;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Estudante                      ;CE;Sim;Denunciar                                                                 ;Não;Não     
100;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Empresária                     ;CE;Sim;Denunciar                                                                 ;Sim;Sim     
101;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;CE;Sim;Melhorar a assistência às vítimas                                         ;Não;Não     
102;Não     ;Outros      ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;NS/NR                                      ;Empregada Doméstica            ;CE;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
103;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;CE;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
104;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;CE;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
105;Sim     ;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;CE;Sim;Denunciar                                                                 ;Sim;Sim     
106;Às vezes;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);CE;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
107;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;NS/NR                                      ;Outras ocupações               ;CE;Sim;Denunciar                                                                 ;Sim;Em parte
108;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;CE;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
109;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);CE;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
110;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Outras ocupações               ;CE;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
111;Não     ;Na família  ;Em parte;Sim;Traição conjugal        ;Física             ;Companheiro;Não  ;                            ;Não fez nada                    ;       ;30 a 39 anos;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);CE;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
112;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;NS/NR                                      ;Do Lar ( Dona de casa)         ;CE;Sim;Denunciar                                                                 ;Não;Sim     
113;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;CE;Sim;Denunciar                                                                 ;Sim;Não     
114;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Profissional Liberal (Autônoma);CE;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
