"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
59;Não;No trabalho;Não;Sim;Sim;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Não;;Procurou Igreja;;40 a 49 anos;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;Yes;No;No;;;;Segunda vez;Nordeste;Pernambuco;40 a 49;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Evangélica;Parda;Igual;Sim;Yes;No;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
60;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Norte;Roraima;20 a 29;Ens. Médio;Sem renda;Estudante;Outras religiões;Parda;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
61;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;;;;;Nordeste;Pernambuco;20 a 29;Ens. Médio;Até 2 S.M.;Servidora Pública;Evangélica;Parda;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
62;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
63;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;50 a 59;Ens. Médio;NS/NR;Empregada doméstica;Evangélica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
64;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Nordeste;Pernambuco;20 a 29;Ens. Médio;Sem renda;Do Lar;Evangélica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
65;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Norte;Roraima;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
66;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;Yes;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;Yes;Yes;No;No;;;;;Nordeste;Pernambuco;50 a 59;Ens. Médio;Até 2 S.M.;Aposentada;Evangélica;Parda;Melhor;NS/NR ;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
67;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Norte;Acre;30 a 39;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Evangélica;Parda;Igual;Sim;Yes;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
68;Às vezes;Na família;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Não;;Outra opção;;16 a 19 anos;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Sim;Yes;No;No;No;No;No;No;;;;Não procurei ajuda ;Nordeste;Pernambuco;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;Irmão/cunhado;Fortalece a lei;NS/NR,
69;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Católica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
70;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;40 a 49;Até Ens. Fund.;Sem renda;NS/NR;Evangélica;Branca;Pior;NS/NR ;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
71;Às vezes;Na família;NS/NR ;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;No;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Paraná;30 a 39;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
72;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;Yes;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Paraná;40 a 49;Ens. Superior;Mais de 2 a 5;Servidora Pública;Outras religiões;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
73;Não;No trabalho;Em parte;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Procurou ajuda dos amigos;;16 a 19 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;No;No;Yes;No;No;No;No;;;;Não procurei ajuda ;Sul;Paraná;40 a 49;Até Ens. Fund.;Sem renda;Empregada doméstica;Católica;Parda;Pior;Não;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
74;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;No;No;No;Yes;No;;;;;Sul;Paraná;50 a 59;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
75;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;Yes;No;Yes;No;No;Não;;Sim;Yes;No;No;No;Yes;No;No;;;;;Norte;Acre;20 a 29;Ens. Médio;Até 2 S.M.;Estudante;Evangélica;Branca;Pior;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
76;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Paraná;20 a 29;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Branca;Igual;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
77;Sim;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;NS/NR ;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Paraná;40 a 49;Ens. Superior;Mais de 5 a 10;Servidora Pública;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
78;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;;Sul;Paraná;40 a 49;Ens. Médio;Até 2 S.M.;Servidora Pública;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
79;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Paraná;20 a 29;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
80;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;Yes;No;Yes;No;No;No;No;Não;;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Paraná;50 a 59;Ens. Médio;Sem renda;Empregada doméstica;Evangélica;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
81;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Não;;Sim;No;No;Yes;No;No;No;No;;;;;Sul;Paraná;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
82;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Não;;;;;;;;;;;;Sul;Paraná;60 ou mais;Ens. Médio;Até 2 S.M.;Aposentada;Católica;Parda;Pior;Não;No;Yes;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
83;Não;Na sociedade;Em parte;Sim;Sim;No;No;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;Não;;Outra opção;;20 a 29 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;Yes;No;Yes;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;Primeira vez;Nordeste;Tocantins;30 a 39;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;Parda;Igual;NS/NR ;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
84;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;Minas Gerais;40 a 49;Ens. Superior;Mais de 10;Servidora Pública;Católica;Amarela;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
85;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Não denunciam;No;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Sudeste;Minas Gerais;20 a 29;Ens. Superior;Sem renda;Estudante;Católica;Parda;Melhor;Sim;No;Yes;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
86;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na maioria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Tocantins;20 a 29;Ens. Médio;Sem renda;Estudante;Evangélica;Branca;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
87;Às vezes;Na sociedade;NS/NR ;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;No;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;30 a 39;Até Ens. Fund.;Sem renda;Do Lar;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
88;NS/NR ;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Minas Gerais;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Católica;Branca;Melhor;Sim;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
89;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;Minas Gerais;30 a 39;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Evangélica;Branca;Igual;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
90;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;20 a 29;Ens. Médio;Sem renda;Estudante;Católica;Branca;Pior;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
91;Às vezes;NS/NR ;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Procurou ajuda da família;;0 a 16 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;Primeira vez;Sudeste;Minas Gerais;50 a 59;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Branca;Melhor;Sim;Yes;Yes;No;No;Sim;Pai;Enfraquece a lei;Diminui a proteção à mulher,
92;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;NS/NR ;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;40 a 49;Ens. Médio;Até 2 S.M.;Servidora Pública;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
93;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;Yes;Yes;No;Yes;No;No;;;;;Sudeste;Minas Gerais;40 a 49;Ens. Superior;Até 2 S.M.;Servidora Pública;Evangélica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
94;Sim;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Sudeste;Espírito Santo;60 ou mais;Ens. Superior;Mais de 5 a 10;Servidora Pública;Católica;Branca;Melhor;Sim;Yes;No;Yes;No;Sim;;NS/NR;NS/NR,
95;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;60 ou mais;Até Ens. Fund.;Mais de 2 a 5;Do Lar;Evangélica;NS/NR;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
96;Não;NS/NR ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;Yes;No;Yes;Yes;Yes;No;No;No;Não;;Sim;No;No;No;No;No;Yes;No;;;;;Sudeste;Espírito Santo;60 ou mais;Ens. Superior;NS/NR;Profissional Liberal;Católica;Branca;NS/NR ;Sim;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
97;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;Yes;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;30 a 39;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Evangélica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
98;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Sem renda;Do Lar;Católica;Branca;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
99;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;Yes;No;No;No;No;No;No;Não;;Não;;;;;;;;;;;;Sudeste;São Paulo;50 a 59;Ens. Médio;Mais de 2 a 5;Do Lar;Católica;Branca;Pior;NS/NR ;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
100;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Sudeste;São Paulo;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Outras religiões;Branca;Igual;Sim;No;No;Yes;No;Não;;Enfraquece a lei;Diminui a proteção à mulher,
101;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;60 ou mais;Ens. Médio;Até 2 S.M.;Do Lar;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
102;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;40 a 49;Ens. Médio;NS/NR;Profissional Liberal;Católica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
103;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;Yes;Yes;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;São Paulo;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
104;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;30 a 39;Até Ens. Fund.;Mais de 2 a 5;Profissional Liberal;Evangélica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
105;Não;Na família;NS/NR ;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;NS/NR ;;Não;;;;;;;;;;;;Sudeste;São Paulo;50 a 59;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Evangélica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
106;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;60 ou mais;Até Ens. Fund.;Sem renda;Do Lar;Outras religiões;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
107;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;Yes;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;40 a 49;Ens. Superior;Mais de 2 a 5;Servidora Pública;Evangélica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
108;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Santa Catarina;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
109;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;30 a 39;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;NS/NR,
110;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;60 ou mais;Até Ens. Fund.;Mais de 2 a 5;Do Lar;Católica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
111;Não;NS/NR ;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;No;Yes;Yes;Yes;No;No;Sim;Outras respostas ;Sim;No;No;No;No;No;Yes;No;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Mais de 2 a 5;Profissional Liberal;NS/NR;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
112;Não;Na família;Não;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Sim;;Outra opção;;16 a 19 anos;Diminuiu;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Família;Sim;No;No;No;No;Yes;No;No;Não;;;Não procurei ajuda ;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Até 2 S.M.;Do Lar;Evangélica;Parda;Melhor;Sim;Yes;No;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
113;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;Yes;No;No;Yes;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
114;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Mais de 2 a 5;Servidora Pública;Católica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
115;Às vezes;Na família;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Não;;Procurou ajuda da família;;20 a 29 anos;Diminuiu;Não denunciam;No;No;Yes;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;Yes;No;No;No;;;;Não procurei ajuda ;Sudeste;São Paulo;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Igual;Não;No;Yes;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
116;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;Yes;No;No;;;;;Nordeste;Sergipe;30 a 39;Ens. Médio;Mais de 2 a 5;Profissional Liberal;NS/NR;Preta;Melhor;Não;Yes;Yes;No;No;Sim;;Fortalece a lei;NS/NR,
117;Às vezes;Na família;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Não;;Procurou ajuda da família;;20 a 29 anos;Diminuiu;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;;;;Terceira vez ou mais;Nordeste;Sergipe;30 a 39;Ens. Médio;Sem renda;Do Lar;Evangélica;Amarela;Igual;Sim;No;No;Yes;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
